ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance_Type,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage kmpl,Engine CC,seater,City
Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,VXI,40000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,,23.1,998,,Bangalore
Petrol,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium BSIV,81100.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.0,1497,5.0,Bangalore
Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,1.2 Revotron XZ,58500.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84,1199,5.0,Bangalore
Petrol,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,1.2 Kappa S Option,46200.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,19.1,1197,5.0,Bangalore
Diesel,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,DDiS 200 Zeta,79000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,23.65,1248,5.0,Bangalore
Diesel,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,2.0 Longitude BSIV,190000.0,2020,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.1,1956,5.0,Bangalore
Petrol,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,T Option BSIV,34500.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,Radio,20.63,1198,,Bangalore
Petrol,SUV,30000,Automatic,1,Hyundai,Hyundai Venue,2021,SX Plus Turbo DCT BSIV,120000.0,2021,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.15,998,5.0,Bangalore
Petrol,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,Alpha Automatic BSIV,96000.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.28,1462,5.0,Bangalore
Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,1.2 Revotron XZ WO Alloy,58500.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84,1199,,Bangalore
Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Baleno,2018,1.2 Delta,69000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,21.4,1197,,Bangalore
Petrol,Hatchback,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz Option AT,68200.0,2019,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9,1197,5.0,Bangalore
Petrol,Hatchback,23000,Automatic,1,Honda,Honda Jazz,2018,VX CVT,82500.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,18.2,1199,5.0,Bangalore
Petrol,Hatchback,48928,Automatic,1,Tata,Tata Tiago,2018,1.2 Revotron XZA,59500.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84,1199,5.0,Bangalore
Diesel,SUV,108862,Manual,3,Mahindra,Mahindra XUV500,2014,W6 2WD,69000.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,15.1,2179,,Bangalore
Diesel,SUV,80000,Manual,1,Jeep,Jeep Compass,2018,2.0 Limited,135000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.1,1956,5.0,Bangalore
Diesel,SUV,16000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,220d 4M BSVI,559500.0,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,1950.0,187.74,,Bangalore
Diesel,Hatchback,65376,Manual,2,Hyundai,Hyundai i20,2014,Asta 1.4 CRDi,52100.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,21.27,1396,5.0,Bangalore
Petrol,SUV,10000,Manual,1,Tata,Tata Nexon,2022,XM Plus S BSVI,100500.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Power Adjustable Exterior Rear View Mirror,Electric Folding Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,17.33,1199,,Bangalore
Petrol,Sedan,67000,Manual,2,Honda,Honda City,2016,i VTEC V,77500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.8,1497,5.0,Bangalore
