ft,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Mileage kmpl,Engine CC,seater,City
Petrol,120000,Manual,3,Maruti,Maruti Celerio,2015,VXI,40000.0,23.1,998.0,3.0,Bangalore
Petrol,32706,Manual,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium BSIV,81100.0,17.0,1497.0,5.0,Bangalore
Petrol,11949,Manual,1,Tata,Tata Tiago,2018,1.2 Revotron XZ,58500.0,23.84,1199.0,5.0,Bangalore
Petrol,17794,Manual,1,Hyundai,Hyundai Xcent,2014,1.2 Kappa S Option,46200.0,19.1,1197.0,5.0,Bangalore
Diesel,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,DDiS 200 Zeta,79000.0,23.65,1248.0,5.0,Bangalore
Diesel,20000,Manual,1,Jeep,Jeep Compass,2020,2.0 Longitude BSIV,190000.0,17.1,1956.0,5.0,Bangalore
Petrol,37772,Manual,1,Datsun,Datsun GO,2017,T Option BSIV,34500.0,20.63,1198.0,3.0,Bangalore
Petrol,30000,Automatic,1,Hyundai,Hyundai Venue,2021,SX Plus Turbo DCT BSIV,120000.0,18.15,998.0,5.0,Bangalore
Petrol,37000,Automatic,1,Maruti,Maruti Ciaz,2018,Alpha Automatic BSIV,96000.0,20.28,1462.0,5.0,Bangalore
Petrol,11949,Manual,1,Tata,Tata Tiago,2017,1.2 Revotron XZ WO Alloy,58500.0,23.84,1199.0,3.0,Bangalore
Petrol,50000,Manual,1,Maruti,Maruti Baleno,2018,1.2 Delta,69000.0,21.4,1197.0,3.0,Bangalore
Petrol,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz Option AT,68200.0,18.9,1197.0,5.0,Bangalore
Petrol,23000,Automatic,1,Honda,Honda Jazz,2018,VX CVT,82500.0,18.2,1199.0,5.0,Bangalore
Petrol,48928,Automatic,1,Tata,Tata Tiago,2018,1.2 Revotron XZA,59500.0,23.84,1199.0,5.0,Bangalore
Diesel,108862,Manual,3,Mahindra,Mahindra XUV500,2014,W6 2WD,69000.0,15.1,2179.0,3.0,Bangalore
Diesel,80000,Manual,1,Jeep,Jeep Compass,2018,2.0 Limited,135000.0,17.1,1956.0,5.0,Bangalore
Diesel,16000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,220d 4M BSVI,559500.0,1950.0,187.74,3.0,Bangalore
Diesel,65376,Manual,2,Hyundai,Hyundai i20,2014,Asta 1.4 CRDi,52100.0,21.27,1396.0,5.0,Bangalore
Petrol,10000,Manual,1,Tata,Tata Nexon,2022,XM Plus S BSVI,100500.0,17.33,1199.0,3.0,Bangalore
Petrol,67000,Manual,2,Honda,Honda City,2016,i VTEC V,77500.0,17.8,1497.0,5.0,Bangalore
