,ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance_Type,Seats,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage,Engine_spec,City
0,Petrol,Hatchback,"1,20,000",Manual,3,Maruti,Maruti Celerio,2015,VXI,₹ 4 Lakh,2015,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,,23.1 kmpl,998 CC,Bangalore
1,Petrol,SUV,"32,706",Manual,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium BSIV,₹ 8.11 Lakh,Feb 2018,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17 kmpl,1497 CC,Bangalore
2,Petrol,Hatchback,"11,949",Manual,1,Tata,Tata Tiago,2018,1.2 Revotron XZ,₹ 5.85 Lakh,Sept 2018,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84 kmpl,1199 CC,Bangalore
3,Petrol,Sedan,"17,794",Manual,1,Hyundai,Hyundai Xcent,2014,1.2 Kappa S Option,₹ 4.62 Lakh,Dec 2014,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,19.1 kmpl,1197 CC,Bangalore
4,Diesel,SUV,"60,000",Manual,1,Maruti,Maruti SX4 S Cross,2015,DDiS 200 Zeta,₹ 7.90 Lakh,2015,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,23.65 kmpl,1248 CC,Bangalore
5,Diesel,SUV,"20,000",Manual,1,Jeep,Jeep Compass,2020,2.0 Longitude BSIV,₹ 19 Lakh,2020,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.1 kmpl,1956 CC,Bangalore
6,Petrol,Hatchback,"37,772",Manual,1,Datsun,Datsun GO,2017,T Option BSIV,₹ 3.45 Lakh,Aug 2017,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,Radio,20.63 kmpl,1198 CC,Bangalore
7,Petrol,SUV,"30,000",Automatic,1,Hyundai,Hyundai Venue,2021,SX Plus Turbo DCT BSIV,₹ 12 Lakh,2021,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.15 kmpl,998 CC,Bangalore
8,Petrol,Sedan,"37,000",Automatic,1,Maruti,Maruti Ciaz,2018,Alpha Automatic BSIV,₹ 9.60 Lakh,Aug 2018,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.28 kmpl,1462 CC,Bangalore
9,Petrol,Hatchback,"11,949",Manual,1,Tata,Tata Tiago,2017,1.2 Revotron XZ WO Alloy,₹ 5.85 Lakh,Jan 2018,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84 kmpl,1199 CC,Bangalore
10,Petrol,Hatchback,"50,000",Manual,1,Maruti,Maruti Baleno,2018,1.2 Delta,₹ 6.90 Lakh,2018,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,21.4 kmpl,1197 CC,Bangalore
11,Petrol,Hatchback,"24,887",Automatic,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz Option AT,₹ 6.82 Lakh,May 2019,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9 kmpl,1197 CC,Bangalore
12,Petrol,Hatchback,"23,000",Automatic,1,Honda,Honda Jazz,2018,VX CVT,₹ 8.25 Lakh,Oct 2018,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,18.2 kmpl,1199 CC,Bangalore
13,Petrol,Hatchback,"48,928",Automatic,1,Tata,Tata Tiago,2018,1.2 Revotron XZA,₹ 5.95 Lakh,Aug 2018,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84 kmpl,1199 CC,Bangalore
14,Diesel,SUV,"1,08,862",Manual,3,Mahindra,Mahindra XUV500,2014,W6 2WD,₹ 6.90 Lakh,Aug 2014,Comprehensive,7 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,15.1 kmpl,2179 CC,Bangalore
15,Diesel,SUV,"80,000",Manual,1,Jeep,Jeep Compass,2018,2.0 Limited,₹ 13.50 Lakh,2018,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.1 kmpl,1956 CC,Bangalore
16,Diesel,SUV,"16,000",Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,220d 4M BSVI,₹ 55.95 Lakh,Jun 2022,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,1950 CC,187.74bhp,Bangalore
17,Diesel,Hatchback,"65,376",Manual,2,Hyundai,Hyundai i20,2014,Asta 1.4 CRDi,₹ 5.21 Lakh,May 2014,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,21.27 kmpl,1396 CC,Bangalore
18,Petrol,SUV,"10,000",Manual,1,Tata,Tata Nexon,2022,XM Plus S BSVI,₹ 10.05 Lakh,2022,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Power Adjustable Exterior Rear View Mirror,Electric Folding Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,17.33 kmpl,1199 CC,Bangalore
19,Petrol,Sedan,"67,000",Manual,2,Honda,Honda City,2016,i VTEC V,₹ 7.75 Lakh,Sept 2016,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.8 kmpl,1497 CC,Bangalore
20,Diesel,Sedan,"1,00,000",Automatic,3,BMW,BMW 5 Series,2011,520d Sedan,₹ 22 Lakh,2011,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,18.48 kmpl,1995 CC,Bangalore
21,Petrol,Hatchback,"18,083",Manual,1,Maruti,Maruti Swift,2016,VXI,₹ 5.82 Lakh,Mar 2016,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,22.38 kmpl,1197 CC,Bangalore
22,Petrol,SUV,"30,000",Manual,1,Renault,Renault Duster,2020,RXS,₹ 10.90 Lakh,2020,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,16.42 kmpl,1498 CC,Bangalore
23,Petrol,Hatchback,"57,634",Manual,2,Tata,Tata Tiago,2016,1.2 Revotron XZ,₹ 4.57 Lakh,Jun 2016,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84 kmpl,1199 CC,Bangalore
24,Petrol,Sedan,"50,000",Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,S 500 L,₹ 49 Lakh,2016,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,7.81 kmpl,4663 CC,Bangalore
25,Petrol,Sedan,"1,10,000",Manual,1,Honda,Honda City,2015,i VTEC V,₹ 5.50 Lakh,2015,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.4 kmpl,1497 CC,Bangalore
26,Petrol,Hatchback,"23,447",Automatic,1,Hyundai,Hyundai Santro,2018,Sportz AMT BSIV,₹ 5.70 Lakh,Nov 2018,Comprehensive,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.3 kmpl,1086 CC,Bangalore
27,Lpg,Hatchback,"30,000",Manual,2,Hyundai,Hyundai Santro Xing,2009,GLS LPG,₹ 2.20 Lakh,2009,Third Party insurance,5 Seats,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Cd Player,13.45 kmpl,1086 CC,Bangalore
